 THU price [$] , Factory scale factor [-] , Shipping cost [$/mile] , Budget [$] , status , THU built , Factories build , Cost [$] 
" 4,000 ", 39 , 5 ," 150,000,000 ", 2 ," 27,699 ", 6 ," 150,000,000 "
" 4,000 ", 39 , 5 ," 200,000,000 ", 2 ," 36,551 ", 8 ," 200,000,000 "
" 5,000 ", 30 , 1 ," 50,000,000 ", 2 ," 8,337 ", 2 ," 50,000,000 "
" 5,000 ", 30 , 1 ," 100,000,000 ", 2 ," 16,557 ", 4 ," 100,000,000 "
" 5,000 ", 30 , 1 ," 150,000,000 ", 2 ," 25,000 ", 5 ," 149,999,971 "
" 5,000 ", 30 , 1 ," 200,000,000 ", 2 ," 33,556 ", 7 ," 200,000,000 "
" 5,000 ", 30 , 2 ," 50,000,000 ", 2 ," 8,297 ", 2 ," 50,000,000 "
" 5,000 ", 30 , 2 ," 100,000,000 ", 2 ," 16,449 ", 4 ," 100,000,000 "
" 5,000 ", 30 , 2 ," 150,000,000 ", 2 ," 25,000 ", 5 ," 148,572,484 "
" 5,000 ", 30 , 2 ," 200,000,000 ", 2 ," 33,269 ", 7 ," 200,000,000 "
" 5,000 ", 30 , 5 ," 50,000,000 ", 2 ," 8,191 ", 2 ," 50,000,000 "
" 5,000 ", 30 , 5 ," 100,000,000 ", 2 ," 16,227 ", 4 ," 100,000,000 "
" 5,000 ", 30 , 5 ," 150,000,000 ", 2 ," 24,783 ", 5 ," 150,000,000 "
" 5,000 ", 30 , 5 ," 200,000,000 ", 2 ," 32,574 ", 7 ," 200,000,000 "
" 5,000 ", 33 , 1 ," 50,000,000 ", 2 ," 8,180 ", 2 ," 50,000,000 "
" 5,000 ", 33 , 1 ," 100,000,000 ", 2 ," 16,233 ", 4 ," 100,000,000 "
" 5,000 ", 33 , 1 ," 150,000,000 ", 2 ," 25,000 ", 5 ," 149,491,643 "
" 5,000 ", 33 , 1 ," 200,000,000 ", 2 ," 32,959 ", 7 ," 200,000,000 "
" 5,000 ", 33 , 2 ," 50,000,000 ", 2 ," 8,137 ", 2 ," 50,000,000 "
" 5,000 ", 33 , 2 ," 100,000,000 ", 2 ," 16,119 ", 4 ," 100,000,000 "
" 5,000 ", 33 , 2 ," 150,000,000 ", 2 ," 24,868 ", 5 ," 150,000,000 "
" 5,000 ", 33 , 2 ," 200,000,000 ", 2 ," 32,686 ", 7 ," 200,000,000 "
" 5,000 ", 33 , 5 ," 50,000,000 ", 2 ," 8,030 ", 2 ," 50,000,000 "
" 5,000 ", 33 , 5 ," 100,000,000 ", 2 ," 15,907 ", 4 ," 100,000,000 "
" 5,000 ", 33 , 5 ," 150,000,000 ", 2 ," 24,360 ", 5 ," 150,000,000 "
" 5,000 ", 33 , 5 ," 200,000,000 ", 2 ," 31,985 ", 7 ," 200,000,000 "
" 5,000 ", 36 , 1 ," 50,000,000 ", 2 ," 8,024 ", 2 ," 50,000,000 "
" 5,000 ", 36 , 1 ," 100,000,000 ", 2 ," 15,910 ", 4 ," 100,000,000 "
" 5,000 ", 36 , 1 ," 150,000,000 ", 2 ," 24,689 ", 5 ," 150,000,000 "
" 5,000 ", 36 , 1 ," 200,000,000 ", 2 ," 32,360 ", 7 ," 200,000,000 "
" 5,000 ", 36 , 2 ," 50,000,000 ", 2 ," 7,978 ", 2 ," 50,000,000 "
" 5,000 ", 36 , 2 ," 100,000,000 ", 2 ," 15,787 ", 4 ," 100,000,000 "
" 5,000 ", 36 , 2 ," 150,000,000 ", 2 ," 24,469 ", 5 ," 150,000,000 "
" 5,000 ", 36 , 2 ," 200,000,000 ", 2 ," 32,100 ", 7 ," 200,000,000 "
" 5,000 ", 36 , 5 ," 50,000,000 ", 2 ," 7,868 ", 2 ," 50,000,000 "
" 5,000 ", 36 , 5 ," 100,000,000 ", 2 ," 15,585 ", 4 ," 100,000,000 "
" 5,000 ", 36 , 5 ," 150,000,000 ", 2 ," 23,964 ", 5 ," 150,000,000 "
" 5,000 ", 36 , 5 ," 200,000,000 ", 2 ," 31,413 ", 7 ," 200,000,000 "
" 5,000 ", 39 , 1 ," 50,000,000 ", 2 ," 7,868 ", 2 ," 50,000,000 "
" 5,000 ", 39 , 1 ," 100,000,000 ", 2 ," 15,586 ", 4 ," 100,000,000 "
" 5,000 ", 39 , 1 ," 150,000,000 ", 2 ," 24,277 ", 5 ," 150,000,000 "
" 5,000 ", 39 , 1 ," 200,000,000 ", 2 ," 31,760 ", 7 ," 200,000,000 "
" 5,000 ", 39 , 2 ," 50,000,000 ", 2 ," 7,819 ", 2 ," 50,000,000 "
" 5,000 ", 39 , 2 ," 100,000,000 ", 2 ," 15,468 ", 4 ," 100,000,000 "
" 5,000 ", 39 , 2 ," 150,000,000 ", 2 ," 24,068 ", 5 ," 150,000,000 "
" 5,000 ", 39 , 2 ," 200,000,000 ", 2 ," 31,512 ", 7 ," 200,000,000 "
" 5,000 ", 39 , 5 ," 50,000,000 ", 2 ," 7,713 ", 2 ," 50,000,000 "
" 5,000 ", 39 , 5 ," 100,000,000 ", 2 ," 15,262 ", 4 ," 100,000,000 "
" 5,000 ", 39 , 5 ," 150,000,000 ", 2 ," 23,567 ", 5 ," 150,000,000 "
" 5,000 ", 39 , 5 ," 200,000,000 ", 2 ," 30,843 ", 7 ," 200,000,000 "
" 6,000 ", 30 , 1 ," 50,000,000 ", 2 ," 6,969 ", 2 ," 50,000,000 "
" 6,000 ", 30 , 1 ," 100,000,000 ", 2 ," 14,513 ", 3 ," 100,000,000 "
" 6,000 ", 30 , 1 ," 150,000,000 ", 2 ," 21,347 ", 5 ," 150,000,000 "
" 6,000 ", 30 , 1 ," 200,000,000 ", 2 ," 28,808 ", 6 ," 200,000,000 "
" 6,000 ", 30 , 2 ," 50,000,000 ", 2 ," 6,934 ", 2 ," 50,000,000 "
" 6,000 ", 30 , 2 ," 100,000,000 ", 2 ," 14,434 ", 3 ," 100,000,000 "
" 6,000 ", 30 , 2 ," 150,000,000 ", 2 ," 21,224 ", 5 ," 150,000,000 "
" 6,000 ", 30 , 2 ," 200,000,000 ", 2 ," 28,594 ", 6 ," 200,000,000 "
" 6,000 ", 30 , 5 ," 50,000,000 ", 2 ," 6,874 ", 2 ," 50,000,000 "
" 6,000 ", 30 , 5 ," 100,000,000 ", 2 ," 14,283 ", 3 ," 100,000,000 "
" 6,000 ", 30 , 5 ," 150,000,000 ", 2 ," 20,919 ", 5 ," 150,000,000 "
" 6,000 ", 30 , 5 ," 200,000,000 ", 2 ," 28,116 ", 6 ," 200,000,000 "
" 6,000 ", 33 , 1 ," 50,000,000 ", 2 ," 6,837 ", 2 ," 50,000,000 "
" 6,000 ", 33 , 1 ," 100,000,000 ", 2 ," 14,312 ", 3 ," 100,000,000 "
" 6,000 ", 33 , 1 ," 150,000,000 ", 2 ," 21,000 ", 5 ," 150,000,000 "
" 6,000 ", 33 , 1 ," 200,000,000 ", 2 ," 28,388 ", 6 ," 200,000,000 "
" 6,000 ", 33 , 2 ," 50,000,000 ", 2 ," 6,801 ", 2 ," 50,000,000 "
" 6,000 ", 33 , 2 ," 100,000,000 ", 2 ," 14,225 ", 3 ," 100,000,000 "
" 6,000 ", 33 , 2 ," 150,000,000 ", 2 ," 20,883 ", 5 ," 150,000,000 "
" 6,000 ", 33 , 2 ," 200,000,000 ", 2 ," 28,178 ", 6 ," 200,000,000 "
" 6,000 ", 33 , 5 ," 50,000,000 ", 2 ," 6,738 ", 2 ," 50,000,000 "
" 6,000 ", 33 , 5 ," 100,000,000 ", 2 ," 14,079 ", 3 ," 100,000,000 "
" 6,000 ", 33 , 5 ," 150,000,000 ", 2 ," 20,569 ", 5 ," 150,000,000 "
" 6,000 ", 33 , 5 ," 200,000,000 ", 2 ," 27,698 ", 6 ," 200,000,000 "
" 6,000 ", 36 , 1 ," 50,000,000 ", 2 ," 6,706 ", 2 ," 50,000,000 "
" 6,000 ", 36 , 1 ," 100,000,000 ", 2 ," 14,110 ", 3 ," 100,000,000 "
" 6,000 ", 36 , 1 ," 150,000,000 ", 2 ," 20,653 ", 5 ," 150,000,000 "
" 6,000 ", 36 , 1 ," 200,000,000 ", 2 ," 27,968 ", 6 ," 200,000,000 "
" 6,000 ", 36 , 2 ," 50,000,000 ", 2 ," 6,672 ", 2 ," 50,000,000 "
" 6,000 ", 36 , 2 ," 100,000,000 ", 2 ," 14,018 ", 3 ," 100,000,000 "
" 6,000 ", 36 , 2 ," 150,000,000 ", 2 ," 20,542 ", 5 ," 150,000,000 "
" 6,000 ", 36 , 2 ," 200,000,000 ", 2 ," 27,764 ", 6 ," 200,000,000 "
" 6,000 ", 36 , 5 ," 50,000,000 ", 2 ," 6,603 ", 2 ," 50,000,000 "
" 6,000 ", 36 , 5 ," 100,000,000 ", 2 ," 13,874 ", 3 ," 100,000,000 "
" 6,000 ", 36 , 5 ," 150,000,000 ", 2 ," 20,230 ", 5 ," 150,000,000 "
" 6,000 ", 36 , 5 ," 200,000,000 ", 2 ," 27,280 ", 6 ," 200,000,000 "
" 6,000 ", 39 , 1 ," 50,000,000 ", 2 ," 6,575 ", 2 ," 50,000,000 "
" 6,000 ", 39 , 1 ," 100,000,000 ", 2 ," 13,908 ", 3 ," 100,000,000 "
" 6,000 ", 39 , 1 ," 150,000,000 ", 2 ," 20,307 ", 5 ," 150,000,000 "
" 6,000 ", 39 , 1 ," 200,000,000 ", 2 ," 27,548 ", 6 ," 200,000,000 "
" 6,000 ", 39 , 2 ," 50,000,000 ", 2 ," 6,542 ", 2 ," 50,000,000 "
" 6,000 ", 39 , 2 ," 100,000,000 ", 2 ," 13,819 ", 3 ," 100,000,000 "
" 6,000 ", 39 , 2 ," 150,000,000 ", 2 ," 20,201 ", 5 ," 150,000,000 "
" 6,000 ", 39 , 2 ," 200,000,000 ", 2 ," 27,352 ", 6 ," 200,000,000 "
" 6,000 ", 39 , 5 ," 50,000,000 ", 2 ," 6,469 ", 2 ," 50,000,000 "
" 6,000 ", 39 , 5 ," 100,000,000 ", 2 ," 13,669 ", 3 ," 100,000,000 "
" 6,000 ", 39 , 5 ," 150,000,000 ", 2 ," 20,000 ", 4 ," 145,518,258 "
" 6,000 ", 39 , 5 ," 200,000,000 ", 2 ," 26,871 ", 6 ," 200,000,000 "
" 7,000 ", 30 , 1 ," 50,000,000 ", 2 ," 5,982 ", 2 ," 50,000,000 "
" 7,000 ", 30 , 1 ," 100,000,000 ", 2 ," 12,470 ", 3 ," 100,000,000 "
" 7,000 ", 30 , 1 ," 150,000,000 ", 2 ," 18,930 ", 4 ," 150,000,000 "
" 7,000 ", 30 , 1 ," 200,000,000 ", 2 ," 25,000 ", 5 ," 199,999,978 "
" 7,000 ", 30 , 2 ," 50,000,000 ", 2 ," 5,959 ", 2 ," 50,000,000 "
" 7,000 ", 30 , 2 ," 100,000,000 ", 2 ," 12,414 ", 3 ," 100,000,000 "
" 7,000 ", 30 , 2 ," 150,000,000 ", 2 ," 18,831 ", 4 ," 150,000,000 "
" 7,000 ", 30 , 2 ," 200,000,000 ", 2 ," 25,000 ", 5 ," 198,572,484 "
" 7,000 ", 30 , 5 ," 50,000,000 ", 2 ," 5,921 ", 2 ," 50,000,000 "
" 7,000 ", 30 , 5 ," 100,000,000 ", 2 ," 12,306 ", 3 ," 100,000,000 "
" 7,000 ", 30 , 5 ," 150,000,000 ", 2 ," 18,592 ", 4 ," 150,000,000 "
" 7,000 ", 30 , 5 ," 200,000,000 ", 2 ," 24,842 ", 5 ," 200,000,000 "
" 7,000 ", 33 , 1 ," 50,000,000 ", 2 ," 5,869 ", 2 ," 50,000,000 "
" 7,000 ", 33 , 1 ," 100,000,000 ", 2 ," 12,297 ", 3 ," 100,000,000 "
" 7,000 ", 33 , 1 ," 150,000,000 ", 2 ," 18,698 ", 4 ," 150,000,000 "
" 7,000 ", 33 , 1 ," 200,000,000 ", 2 ," 25,000 ", 5 ," 199,491,643 "
" 7,000 ", 33 , 2 ," 50,000,000 ", 2 ," 5,847 ", 2 ," 50,000,000 "
" 7,000 ", 33 , 2 ," 100,000,000 ", 2 ," 12,243 ", 3 ," 100,000,000 "
" 7,000 ", 33 , 2 ," 150,000,000 ", 2 ," 18,595 ", 4 ," 150,000,000 "
" 7,000 ", 33 , 2 ," 200,000,000 ", 2 ," 24,904 ", 5 ," 200,000,000 "
" 7,000 ", 33 , 5 ," 50,000,000 ", 2 ," 5,804 ", 2 ," 50,000,000 "
" 7,000 ", 33 , 5 ," 100,000,000 ", 2 ," 12,129 ", 3 ," 100,000,000 "
" 7,000 ", 33 , 5 ," 150,000,000 ", 2 ," 18,361 ", 4 ," 150,000,000 "
" 7,000 ", 33 , 5 ," 200,000,000 ", 2 ," 24,533 ", 5 ," 200,000,000 "
" 7,000 ", 36 , 1 ," 50,000,000 ", 2 ," 5,756 ", 2 ," 50,000,000 "
" 7,000 ", 36 , 1 ," 100,000,000 ", 2 ," 12,123 ", 3 ," 100,000,000 "
" 7,000 ", 36 , 1 ," 150,000,000 ", 2 ," 18,467 ", 4 ," 150,000,000 "
" 7,000 ", 36 , 1 ," 200,000,000 ", 2 ," 24,776 ", 5 ," 200,000,000 "
" 7,000 ", 36 , 2 ," 50,000,000 ", 2 ," 5,735 ", 2 ," 50,000,000 "
" 7,000 ", 36 , 2 ," 100,000,000 ", 2 ," 12,071 ", 3 ," 100,000,000 "
" 7,000 ", 36 , 2 ," 150,000,000 ", 2 ," 18,360 ", 4 ," 150,000,000 "
" 7,000 ", 36 , 2 ," 200,000,000 ", 2 ," 24,615 ", 5 ," 200,000,000 "
" 7,000 ", 36 , 5 ," 50,000,000 ", 2 ," 5,687 ", 2 ," 50,000,000 "
