"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IL-518",NA,NA,NA,NA,NA,NA,NA,72,36,36,46,38,41,47,42,43,46,38,38,38,38,39,39,39,39,39,39,39,39
"IL-519",NA,NA,NA,NA,NA,NA,NA,61,52,49,55,58,59,50,53,51,54,53,53,52,52,52,52,51,51,51,51,51,51
"IL-520",NA,NA,NA,NA,NA,NA,NA,45,44,44,46,52,51,46,54,50,51,44,44,43,42,41,40,39,37,36,35,33,32
"IN-502",NA,NA,NA,NA,NA,NA,NA,42,42,45,44,44,43,43,41,42,44,43,43,42,42,42,42,42,42,42,42,42,42
"IN-503",NA,NA,NA,NA,NA,NA,NA,31,35,34,34,34,33,29,32,37,36,37,38,39,40,40,41,42,43,43,44,45,46
"KS-502",NA,NA,NA,NA,NA,NA,NA,30,33,34,31,31,32,27,30,31,29,31,31,31,31,31,31,31,31,31,31,31,31
"KS-503",NA,NA,NA,NA,NA,NA,NA,49,45,35,40,34,38,43,27,36,40,37,37,37,37,37,37,37,38,38,38,38,38
"KS-505",NA,NA,NA,NA,NA,NA,NA,65,61,63,58,59,57,49,49,45,44,43,41,39,38,37,35,34,33,32,31,30,30
"KS-507",NA,NA,NA,NA,NA,NA,NA,42,46,52,45,41,42,40,44,48,46,40,41,41,41,42,42,43,43,43,44,44,44
"KY-500",NA,NA,NA,NA,NA,NA,NA,46,47,44,45,43,45,43,46,42,41,41,41,40,40,39,39,39,38,38,38,37,37
"KY-501",NA,NA,NA,NA,NA,NA,NA,35,30,31,32,32,30,39,38,37,36,36,37,37,37,38,38,38,38,38,39,39,39
"KY-502",NA,NA,NA,NA,NA,NA,NA,33,29,31,30,31,33,31,33,33,34,38,39,40,40,41,42,42,43,43,44,44,45
"LA-500",NA,NA,NA,NA,NA,NA,NA,41,39,43,39,30,34,30,45,43,40,41,43,45,46,48,49,50,52,53,54,55,56
"LA-502",NA,NA,NA,NA,NA,NA,NA,42,34,33,34,33,32,38,31,30,29,35,34,34,34,34,33,33,33,32,32,31,30
"LA-503",NA,NA,NA,NA,NA,NA,NA,28,28,29,26,24,25,26,13,27,27,31,31,32,32,33,33,34,34,35,35,36,36
"LA-505",NA,NA,NA,NA,NA,NA,NA,57,58,52,53,58,49,41,45,43,48,37,34,29,24,18,11,1,-12,-29,-53,-91,-159
"LA-506",NA,NA,NA,NA,NA,NA,NA,41,40,31,27,22,20,31,34,50,38,48,52,56,59,62,64,67,69,71,72,74,75
"LA-507",NA,NA,NA,NA,NA,NA,NA,30,49,30,42,38,27,31,50,43,36,37,38,38,39,40,41,41,42,43,44,45,46
"LA-509",NA,NA,NA,NA,NA,NA,NA,51,32,34,32,28,33,33,50,48,38,40,42,44,46,47,47,48,49,49,49,50,50
"MA-500",NA,NA,NA,NA,NA,NA,NA,46,46,44,48,48,47,49,48,50,50,50,50,51,51,52,52,53,54,55,55,56,57
"MA-502",NA,NA,NA,NA,NA,NA,NA,56,41,46,48,56,57,59,57,52,56,56,56,55,55,55,55,54,54,54,54,54,53
"MA-503",NA,NA,NA,NA,NA,NA,NA,44,44,45,49,49,53,51,49,46,47,46,46,46,45,45,44,44,44,44,43,43,43
"MA-504",NA,NA,NA,NA,NA,NA,NA,55,55,56,52,56,54,53,53,53,53,53,53,52,52,51,51,50,50,50,49,49,48
"MA-505",NA,NA,NA,NA,NA,NA,NA,48,45,42,49,49,46,48,51,53,51,51,52,52,53,53,53,53,54,54,54,54,55
"MA-506",NA,NA,NA,NA,NA,NA,NA,52,53,49,47,47,48,48,48,47,45,49,49,49,48,48,48,48,48,48,48,48,48
"MA-507",NA,NA,NA,NA,NA,NA,NA,34,38,27,32,39,40,32,39,39,41,45,45,46,47,47,48,48,48,49,49,49,50
"MA-509",NA,NA,NA,NA,NA,NA,NA,37,33,34,34,32,35,34,34,37,41,41,42,43,44,45,46,47,48,49,50,51,51
"MA-511",NA,NA,NA,NA,NA,NA,NA,52,53,52,51,52,50,48,53,50,52,54,54,54,54,54,55,55,55,55,55,55,55
"MA-515",NA,NA,NA,NA,NA,NA,NA,57,55,57,55,51,53,51,49,48,48,50,49,49,48,48,47,47,47,47,46,46,46
"MA-516",NA,NA,NA,NA,NA,NA,NA,56,55,54,53,52,52,51,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54
"MD-501",NA,NA,NA,NA,NA,NA,NA,26,29,30,28,27,28,36,35,32,34,32,34,36,38,41,46,53,66,94,213,-304,-68
"MD-503",NA,NA,NA,NA,NA,NA,NA,38,40,41,39,36,37,38,39,42,35,35,35,35,35,35,35,35,34,34,34,33,32
"MD-504",NA,NA,NA,NA,NA,NA,NA,44,45,43,40,46,46,43,44,55,45,48,48,49,50,51,52,54,55,57,60,63,66
"MD-505",NA,NA,NA,NA,NA,NA,NA,45,42,46,41,44,47,46,38,42,42,42,40,39,38,36,34,31,28,23,17,9,-4
"MD-506",NA,NA,NA,NA,NA,NA,NA,44,43,39,44,46,40,41,45,39,37,37,35,33,31,28,26,22,18,14,8,0,-10
"MD-511",NA,NA,NA,NA,NA,NA,NA,35,42,38,44,45,51,48,48,38,47,50,49,49,49,49,49,49,48,48,48,47,47
"MD-513",NA,NA,NA,NA,NA,NA,NA,31,37,39,39,40,40,41,36,38,43,36,36,35,35,35,34,34,34,33,33,33,32
"MD-514",NA,NA,NA,NA,NA,NA,NA,45,42,41,41,39,39,40,39,43,43,40,40,41,41,42,42,43,44,45,45,46,47
"MD-600",NA,NA,NA,NA,NA,NA,NA,54,50,51,52,49,58,46,45,49,50,52,52,51,51,51,51,51,51,51,51,51,50
"MD-601",NA,NA,NA,NA,NA,NA,NA,40,46,41,48,42,43,45,36,44,39,39,39,38,38,38,37,37,37,37,36,36,36
"ME-500",NA,NA,NA,NA,NA,NA,NA,45,48,45,46,47,47,45,46,43,50,42,42,42,42,42,42,43,43,43,43,43,43
"MI-500",NA,NA,NA,NA,NA,NA,NA,41,50,52,49,49,51,49,51,48,49,47,47,47,46,46,46,46,46,46,46,45,45
"MI-501",NA,NA,NA,NA,NA,NA,NA,27,32,34,34,34,33,37,35,41,36,42,43,45,46,48,50,51,53,55,57,59,62
"MI-502",NA,NA,NA,NA,NA,NA,NA,48,51,48,49,49,48,49,40,60,57,40,40,40,39,39,39,39,38,38,38,37,37
"MI-503",NA,NA,NA,NA,NA,NA,NA,33,21,32,31,44,40,38,43,47,46,45,46,46,47,47,47,48,48,48,49,49,49
"MI-504",NA,NA,NA,NA,NA,NA,NA,45,41,45,44,43,44,42,52,50,50,49,51,53,55,57,60,63,66,70,74,79,84
"MI-505",NA,NA,NA,NA,NA,NA,NA,41,42,42,40,40,34,42,44,41,33,40,40,39,39,39,39,39,39,38,38,38,38
"MI-506",NA,NA,NA,NA,NA,NA,NA,41,43,37,38,42,42,41,39,36,39,39,38,38,37,37,37,36,36,36,36,35,35
